0  ,0.118,0.119,0.117,0.117,0.120
5  ,0.101,0.100,0.100,0.100,0.100
10 ,0.083,0.082,0.082,0.080,0.082
15 ,0.065,0.062,0.066,0.067,0.065
20 ,0.054,0.054,0.055,0.054,0.055
25 ,0.045,0.044,0.044,0.043,0.044
30 ,0.036,0.036,0.036,0.036,0.035
35 ,0.029,0.029,0.029,0.029,0.029
40 ,0.024,0.024,0.024,0.024,0.024
45 ,0.020,0.019,0.019,0.019,0.019
50 ,0.016,0.016,0.016,0.016,0.016
55 ,0.013,0.013,0.013,0.013,0.013
60 ,0.011,0.010,0.010,0.010,0.010
65 ,0.009,0.009,0.009,0.009,0.009
70 ,0.007,0.007,0.007,0.007,0.007
75 ,0.006,0.006,0.006,0.006,0.006
80 ,0.005,0.005,0.005,0.005,0.005
85 ,0.004,0.004,0.003,0.004,0.004
90 ,0.003,0.003,0.003,0.003,0.003
95 ,0.002,0.002,0.002,0.002,0.002
100,0.002,0.002,0.002,0.002,0.002
105,0.001,0.001,0.001,0.001,0.001
